ID_CLIENTE;FORMA_AQUISICAO;IDADE_CLIENTE;SEXO;QT_FILHOS;DT_AQUISICAO;DIAS_ATIVO;MESES_ATIVO;DURACAO_CONTRATO;VL_PLANO_ADESAO;VL_PLANO_ATUAL;NOME_PRODUTO;QT_PONTOS_INSTALADOS;QT_PC_PAGAS;QT_PC_VENCIDAS;QT_PC_PAGA_ATRASO;QT_PC_PAGA_EM_DIA;QT_ACORDO_PAGAMENTO;VL_MENSALIDADE_ATRASO;VL_MENSALIDADE_DT_AQUISICAO;VL_MENSALIDADE_DT_ATUAL
67;Vendedor;23;MASCULINO;1;01/06/2020;415;13;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);1;5;0;0;5;0;0;290;334
68;Vendedor;24;FEMININO;2;04/02/2019;898;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);2;5;0;2;3;0;0;350;403
69;Vendedor;25;MASCULINO;1;17/05/2018;1161;38;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;6;0;1;5;1;0;230;265
70;Vendedor;26;FEMININO;2;10/08/2020;345;11;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;3;2;1;0;230;265
71;Vendedor;27;MASCULINO;2;30/04/2018;1178;39;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;4;1;1;0;230;265
72;Vendedor;28;FEMININO;1;25/01/2019;908;30;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;2;0;0;2;0;0;230;265
73;Vendedor;29;MASCULINO;2;19/03/2018;1220;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;3;2;1;0;230;265
74;Vendedor;30;FEMININO;1;16/07/2018;1101;36;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;5;0;0;0;230;265
75;Vendedor;31;MASCULINO;2;27/07/2018;1090;36;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);3;5;0;0;5;0;0;290;334
76;Vendedor;32;FEMININO;1;21/05/2019;792;26;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);1;5;0;1;4;1;0;350;403
77;Vendedor;33;MASCULINO;2;28/04/2020;449;15;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);2;5;0;2;3;1;0;350;403
78;Vendedor;34;FEMININO;1;20/08/2018;1066;35;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;6;0;1;5;1;0;230;265
79;Vendedor;35;MASCULINO;2;19/02/2019;883;29;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;6;0;5;1;1;0;230;265
80;Vendedor;36;FEMININO;1;27/05/2020;420;14;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;0;5;0;0;230;265
81;Vendedor;37;MASCULINO;2;11/02/2020;526;17;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;6;0;3;3;1;0;230;265
82;Vendedor;38;FEMININO;1;31/07/2018;1086;36;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;1;4;1;0;230;265
83;Vendedor;39;MASCULINO;2;23/03/2018;1216;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;4;0;2;2;0;0;230;265
84;Vendedor;40;FEMININO;1;10/01/2019;923;30;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;2;3;1;0;230;265
85;Vendedor;41;MASCULINO;2;08/03/2018;1231;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;4;0;0;4;0;0;230;265
86;Site;42;FEMININO;1;04/01/2021;198;6;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;1;4;1;0;230;265
87;Vendedor;43;MASCULINO;2;19/01/2018;1279;42;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;2;0;2;0;1;0;230;265
88;Vendedor;44;FEMININO;1;06/04/2018;1202;39;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;4;1;0;0;230;265
89;Vendedor;45;MASCULINO;2;02/08/2018;1084;35;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;1;4;1;0;230;265
90;Vendedor;46;FEMININO;1;19/11/2019;610;20;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;6;0;3;3;1;0;230;265
91;Vendedor;47;MASCULINO;2;12/09/2018;1043;34;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;3;2;1;0;230;265
92;Vendedor;48;FEMININO;23;03/08/2018;1083;35;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;1;4;0;0;230;265
93;Vendedor;49;MASCULINO;2;19/03/2018;1220;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;5;0;1;0;230;265
94;Vendedor;50;FEMININO;1;10/06/2019;772;25;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);1;5;0;0;5;1;0;350;403
95;Vendedor;51;MASCULINO;2;23/07/2019;729;24;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);2;5;0;1;4;1;0;350;403
96;Vendedor;52;FEMININO;1;26/01/2018;1272;42;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;3;2;1;0;230;265
97;Vendedor;53;MASCULINO;2;14/03/2018;1225;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;3;0;2;1;0;0;230;265
98;Site;54;FEMININO;1;20/04/2021;92;3;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);2;3;2;0;3;0;667;290;334
99;Vendedor;55;MASCULINO;2;04/02/2019;898;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);3;1;0;0;1;0;0;350;403
100;Vendedor;23;FEMININO;1;04/06/2019;778;25;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);1;5;0;5;0;0;0;290;334
101;Vendedor;24;MASCULINO;2;04/02/2019;898;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);2;1;0;0;1;0;0;350;403
102;Vendedor;25;FEMININO;1;27/09/2018;1028;34;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;1;4;1;0;230;265
103;Vendedor;26;MASCULINO;2;21/03/2018;1218;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;2;0;1;1;0;0;230;265
104;Vendedor;27;FEMININO;2;29/08/2018;1057;35;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;1;4;1;0;230;265
105;Vendedor;28;MASCULINO;1;03/12/2018;961;31;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;2;3;1;0;230;265
106;Vendedor;29;FEMININO;2;29/03/2018;1210;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;0;5;0;0;230;265
107;Vendedor;30;MASCULINO;1;29/04/2019;814;27;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;1;4;0;0;230;265
108;Site;31;FEMININO;2;12/03/2021;131;4;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;4;1;1;3;1;265;230;265
109;Vendedor;32;MASCULINO;1;17/01/2020;551;18;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);1;3;0;2;1;1;0;350;403
110;Site;33;FEMININO;2;13/01/2021;189;6;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);2;5;0;0;5;1;0;350;403
111;Vendedor;34;MASCULINO;1;04/02/2019;898;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);3;4;0;1;3;1;0;350;403
112;Vendedor;35;FEMININO;2;04/02/2019;898;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);1;4;0;1;3;1;0;350;403
113;Vendedor;36;MASCULINO;1;04/02/2019;898;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);2;4;0;1;3;1;0;350;403
114;Vendedor;37;FEMININO;2;04/02/2019;898;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);3;3;0;1;2;1;0;350;403
115;Vendedor;38;MASCULINO;1;26/12/2018;938;31;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);1;4;0;1;3;0;0;350;403
116;Vendedor;39;FEMININO;2;20/08/2018;1066;35;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;6;0;3;3;1;0;230;265
117;Vendedor;40;MASCULINO;1;11/09/2019;679;22;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);3;5;0;2;3;1;0;350;403
118;Site;41;FEMININO;2;21/06/2021;30;1;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;1;4;0;1;1;1058;230;265
119;Vendedor;42;MASCULINO;1;29/03/2018;1210;40;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);2;4;0;3;1;0;0;290;334
120;Vendedor;43;FEMININO;2;14/10/2019;646;21;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;6;0;1;5;0;0;230;265
121;Site;44;MASCULINO;1;09/04/2021;103;3;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;4;1;0;4;1;265;230;265
122;Vendedor;45;FEMININO;2;06/02/2018;1261;41;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;5;0;1;0;230;265
123;Vendedor;46;MASCULINO;1;29/05/2020;418;14;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;3;2;0;0;230;265
124;Vendedor;47;FEMININO;2;13/04/2018;1195;39;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;1;4;0;0;230;265
125;Vendedor;48;MASCULINO;1;20/03/2018;1219;40;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);2;5;0;3;2;1;0;290;334
126;Site;49;FEMININO;2;10/10/2018;1015;33;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;4;0;1;3;1;0;230;265
127;Site;50;MASCULINO;1;26/05/2021;56;2;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;1;4;0;1;0;1058;230;265
128;Vendedor;51;FEMININO;2;04/02/2019;898;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);2;1;0;0;1;0;0;350;403
129;Vendedor;52;MASCULINO;1;04/02/2019;898;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);3;1;0;0;1;0;0;350;403
130;Vendedor;53;FEMININO;2;05/07/2018;1112;36;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;1;4;1;0;230;265
131;Vendedor;54;MASCULINO;1;29/03/2018;1210;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;3;2;0;0;230;265
132;Vendedor;55;FEMININO;2;29/03/2018;1210;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;3;2;0;0;230;265
133;Vendedor;23;MASCULINO;1;14/09/2018;1041;34;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;3;2;1;0;230;265
134;Vendedor;24;FEMININO;2;06/11/2019;623;20;48 Meses;450;518;PLANO FAMILIA (100 CANAIS HD);2;5;0;2;3;1;0;450;518
135;Vendedor;25;MASCULINO;1;26/05/2020;421;14;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);3;5;0;2;3;0;0;290;334
136;Vendedor;26;FEMININO;2;20/04/2018;1188;39;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);1;6;0;4;2;0;0;290;334
137;Vendedor;27;MASCULINO;2;27/02/2020;510;17;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;3;2;1;0;230;265
138;Vendedor;28;FEMININO;1;02/05/2018;1176;38;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;2;3;1;0;230;265
139;Vendedor;29;MASCULINO;2;11/07/2019;741;24;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;1;4;1;0;230;265
140;Vendedor;30;FEMININO;1;05/02/2019;897;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);2;1;0;0;1;0;0;350;403
141;Vendedor;31;MASCULINO;2;28/12/2018;936;31;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;4;0;1;3;1;0;230;265
142;Vendedor;32;FEMININO;1;11/02/2019;891;29;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;1;4;1;0;230;265
143;Vendedor;33;MASCULINO;2;05/04/2018;1203;39;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;2;3;0;0;230;265
144;Vendedor;34;FEMININO;1;27/12/2019;572;19;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);3;5;0;1;4;0;0;290;334
145;Vendedor;35;MASCULINO;2;27/12/2019;572;19;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);1;5;0;1;4;1;0;350;403
146;Vendedor;36;FEMININO;1;16/03/2018;1223;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;4;0;1;3;0;0;230;265
147;Vendedor;37;MASCULINO;2;25/03/2020;483;16;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;3;0;1;2;0;0;230;265
148;Site;38;FEMININO;1;20/01/2021;182;6;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;6;0;2;4;1;0;230;265
149;Vendedor;39;MASCULINO;2;05/04/2018;1203;39;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;3;2;0;0;230;265
150;Vendedor;40;FEMININO;1;04/02/2019;898;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);3;1;0;0;1;0;0;350;403
151;Vendedor;41;MASCULINO;2;12/02/2020;525;17;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;3;2;0;0;230;265
152;Vendedor;42;FEMININO;1;27/09/2019;663;22;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;0;5;1;0;230;265
153;Vendedor;43;MASCULINO;2;25/05/2020;422;14;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;3;2;0;0;230;265
154;Vendedor;44;FEMININO;1;25/05/2020;422;14;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;3;2;0;0;230;265
155;Vendedor;45;MASCULINO;2;25/05/2020;422;14;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;3;2;0;0;230;265
156;Vendedor;46;FEMININO;1;09/01/2018;1289;42;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;3;2;1;0;230;265
157;Vendedor;47;MASCULINO;2;27/09/2019;663;22;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;1;4;0;0;230;265
158;Vendedor;48;FEMININO;1;27/09/2019;663;22;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);2;5;0;1;4;1;0;350;403
159;Vendedor;49;MASCULINO;2;04/02/2019;898;29;48 Meses;350;403;PLANO MEDIO A (60 CANAIS HD);3;4;0;2;2;0;0;350;403
160;Vendedor;50;FEMININO;1;03/05/2019;810;26;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;4;1;1;0;230;265
161;Vendedor;51;MASCULINO;2;05/04/2018;1203;39;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;2;3;0;0;230;265
162;Vendedor;52;FEMININO;1;17/04/2018;1191;39;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;2;3;0;0;230;265
163;Vendedor;53;MASCULINO;2;31/10/2018;994;33;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;2;3;1;0;230;265
164;Vendedor;54;FEMININO;1;29/08/2018;1057;35;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;0;5;1;0;230;265
165;Vendedor;55;MASCULINO;23;19/06/2018;1128;37;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;2;3;1;0;230;265
166;Vendedor;23;FEMININO;1;29/10/2018;996;33;48 Meses;290;334;PLANO BASICO PLUS (50 CANAIS HD);1;5;0;1;4;0;0;290;334
167;Vendedor;24;MASCULINO;2;04/12/2018;960;31;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;0;5;1;0;230;265
168;Vendedor;25;FEMININO;1;06/04/2018;1202;39;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;5;0;2;3;0;0;230;265
169;Vendedor;26;MASCULINO;2;01/06/2020;415;13;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;5;0;3;2;1;0;230;265
170;Site;27;FEMININO;2;09/03/2021;134;4;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;5;0;1;4;1;0;230;265
171;Vendedor;28;MASCULINO;1;05/03/2018;1234;40;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);3;6;0;1;5;0;0;230;265
172;Vendedor;29;FEMININO;2;16/07/2018;1101;36;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);1;6;0;2;4;0;0;230;265
173;Site;30;MASCULINO;1;16/11/2020;247;8;48 Meses;230;265;PLANO BASICO (30 CANAIS HD);2;6;0;3;3;1;0;230;265
